mineral,use_case,principal_source_country_user,principal_source_relationship_user,top_world_producer_2021,top_world_producer_relationship,top_world_producer_share_pct,nir_values_raw,import_reliance_pct,source_concentration_pct,sector_tags,primary_sector,relationship_risk_score,sector_impact_score,shortfall_risk_score,shortfall_risk_band,data_gap_note
Graphite,"used for lubricants, batteries, and fuel cells",China,competitor,China,competitor,82.0,100,100.0,82.0,Batteries; Energy transition,Batteries,100,95,94.8,Critical,
Gallium,used for integrated circuits and optical devices like LEDs,China,competitor,China,competitor,97.67441860465117,100,100.0,97.67441860465117,Semiconductors / electronics,Semiconductors / electronics,100,65,94.2,Critical,
Scandium,"used for alloys, ceramics, and fuel cells",China,competitor,,,,100,100.0,,Defense / aerospace; Batteries; Energy transition,Defense / aerospace,100,100,87.5,Critical,No country-level world table in provided world.zip. 
Tellurium,"used in solar cells, thermoelectric devices, and as alloying additive",China,competitor,China,competitor,58.620689655172406,>95,95.0,58.620689655172406,Defense / aerospace; Energy transition,Defense / aerospace,100,95,87.2,Critical,
Yttrium,"used for ceramic, catalysts, lasers, metallurgy, and phosphors",China,competitor,China,competitor,60.0,100,100.0,60.0,Defense / aerospace; Industrial base,Defense / aerospace,100,80,87.0,Critical,
Dysprosium,"used in permanent magnets, data storage devices, and lasers",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Semiconductors / electronics; Energy transition,Defense / aerospace,100,100,86.5,Critical,Mapped to grouped USGS Rare Earths table. 
Terbium,"used in permanent magnets, fiber optics, lasers, and solid-state devices",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Semiconductors / electronics; Energy transition,Defense / aerospace,100,100,86.5,Critical,Mapped to grouped USGS Rare Earths table. 
Lanthanum,"used to produce catalysts, ceramics, glass, polishing compounds, metallurgy, and batteries",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Batteries; Energy transition; Industrial base,Batteries,100,100,86.5,Critical,Mapped to grouped USGS Rare Earths table. 
Praseodymium,"used in permanent magnets, batteries, aerospace alloys, ceramics, and colorants",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Batteries; Energy transition,Defense / aerospace,100,100,86.5,Critical,Mapped to grouped USGS Rare Earths table. 
Neodymium,"used in permanent magnets, rubber catalysts, and in medical and industrial lasers",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Energy transition,Defense / aerospace,100,95,85.8,Critical,Mapped to grouped USGS Rare Earths table. 
Holmium,"used in permanent magnets, nuclear control rods, and lasers",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Energy transition,Defense / aerospace,100,95,85.8,Critical,Mapped to grouped USGS Rare Earths table. 
Erbium,"used in fiber optics, optical amplifiers, lasers, and glass colorants",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Semiconductors / electronics,Defense / aerospace,100,95,85.8,Critical,Mapped to grouped USGS Rare Earths table. 
Samarium,"used in permanent magnets, as an absorber in nuclear reactors, and in cancer treatments",China,competitor,China,competitor,60.0,>90; E,90.0,60.0,Defense / aerospace; Energy transition,Defense / aerospace,100,95,85.8,Critical,Mapped to grouped USGS Rare Earths table. 
Bismuth,used in medical and atomic research,China,competitor,China,competitor,84.21052631578947,90.0,90.0,84.21052631578947,Other / research,Other / research,100,50,85.1,Critical,
Indium,used in liquid crystal display screens,China,competitor,China,competitor,57.608695652173914,100,100.0,57.608695652173914,Semiconductors / electronics,Semiconductors / electronics,100,65,84.2,Critical,
Niobium,used mostly in steel and superalloys,Brazil,neutral,Brazil,neutral,88.0,100,100.0,88.0,Defense / aerospace; Industrial base,Defense / aerospace,60,80,84.0,Critical,
